ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;MG;61;Federal;;;51;16.67;;;27;5.81;;;1;8;;;62;2.86;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo;ES;62;Federal;;;52;16.26;;;30;5.56;;;1;8;;;64;2.7;;
2024;zootecnia;Universidade Federal do Sul e Sudeste do Pará;PA;63;Federal;;;53;16.17;;;86;0.84;;;1;8;;;9;7.33;;
2024;zootecnia;Universidade do Oeste Paulista;SP;64;Privada;42;3.2;67;12.13;;;13;6.99;;;83;1.1;;;48;4.04;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul;RS;65;Federal;;;55;15.24;;;62;2.86;;;1;8;;;44;4.38;;
2024;zootecnia;Universidade Federal de Rondonópolis;MT;66;Federal;;;56;14.74;;;65;2.61;;;1;8;;;47;4.13;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia de Rondônia;RO;67;Federal;;;58;14.73;;;24;6.06;;;1;8;;;88;0.67;;
2024;zootecnia;Universidade Federal de Jataí;GO;68;Federal;;;59;14.4;;;74;1.85;;;1;8;;;42;4.55;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais;MG;69;Federal;;;60;14.15;;;51;3.79;;;1;8;;;68;2.36;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Tocantins;TO;69;Federal;;;60;14.15;;;59;3.12;;;1;8;;;60;3.03;;
2024;zootecnia;Faculdade Arnaldo Janssen;MG;71;Privada;;;62;13.9;;;28;5.73;;;1;8;;;94;0.17;;
2024;zootecnia;Universidade Federal do Oeste do Pará;PA;72;Federal;;;64;13.47;;;86;0.84;;;1;8;;;41;4.63;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Piauí;PI;73;Federal;;;65;12.72;;;56;3.37;;;1;8;;;80;1.35;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha;RS;73;Federal;;;65;12.72;;;64;2.7;;;1;8;;;72;2.02;;
2024;zootecnia;Instituto de Ensino Superior Múltiplo;MA;75;Privada;;;69;11.46;;;78;1.52;;;1;8;;;73;1.94;;
2024;zootecnia;Centro Universitário Unirb;BA;76;Privada;;;71;11.2;;;78;1.52;;;1;8;;;76;1.68;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia Baiano;BA;77;Federal;;;72;10.95;;;80;1.35;;;1;8;;;77;1.6;;
2024;zootecnia;Faculdade de Ciências Sociais Aplicadas do Vale do São Lourenço;MT;78;Privada;;;73;10.36;;;82;1.18;;;1;8;;;82;1.18;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro;MG;79;Federal;;;74;10.28;;;33;5.31;;;77;1.6;;;56;3.37;;
2024;zootecnia;Pontifícia Universidade Católica de Goiás;GO;80;Privada;42;3.2;87;6.39;;;76;1.68;;;86;0.84;;;50;3.87;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Ceará;CE;81;Federal;;;75;9.52;;;90;0.51;;;1;8;;;84;1.01;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Acre;AC;82;Federal;;;77;9.01;;;89;0.59;;;1;8;;;91;0.42;;
2024;zootecnia;Universidade Estadual de Alagoas;AL;83;Estadual;;;78;8.84;;;93;0.25;;;1;8;;;89;0.59;;
2024;zootecnia;Centro Universitário Aparício Carvalho;RO;84;Privada;;;81;8.42;;;95;0.08;;;1;8;;;92;0.34;;
2024;zootecnia;Faculdade Eduvale de Avaré;SP;85;Privada;;;82;8.17;;;10;7.24;;;94;0.17;;;87;0.76;;
